date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:46	509638/509638	---MCZ	200	added ('OK')	text/html	etag:W/%22e65ca4762b60418d81b350c0cc45e34f%22	https://onthecard.vn/	G:/backup/onthecard_v2/onthecard.vn/index.html	(from )
15:47:46	308/308	---MCZ	200	added ('OK')	text/plain	date:Wed,%2021%20Sep%202022%2008:47:45%20GMT	https://onthecard.vn/robots.txt		(from )
15:47:46	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2008:47:46%20GMT	https://assets.harafunnel.com/widget/100107381884951.js	G:/backup/onthecard_v2/assets.harafunnel.com/widget/100107381884951.0.delayed	(from https://onthecard.vn/)
15:47:47	2731/2731	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2008:47:47%20GMT	https://app.harasocial.com/widget/100107381884951.js	G:/backup/onthecard_v2/app.harasocial.com/widget/100107381884951.js	(from https://onthecard.vn/)
15:47:52	67442/67442	---M--	200	added ('OK')	image/png	etag:%22332d9d94080bcd56c618264780a99156%22	http://theme.hstatic.net/200000281647/1000748372/14/favicon.png?v=242	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000748372/14/favicon43da.png	(from https://onthecard.vn/)
15:47:52	448026/448026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2008:47:47%20GMT	https://onthecard.vn/fonts/glyphicons-halflings-regular.eot	G:/backup/onthecard_v2/onthecard.vn/fonts/glyphicons-halflings-regular.eot	(from https://onthecard.vn/)
15:47:52	448026/448026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2008:47:52%20GMT	https://onthecard.vn/fonts/glyphicons-halflings-regular.eot?	G:/backup/onthecard_v2/onthecard.vn/fonts/glyphicons-halflings-regulard41d.eot	(from https://onthecard.vn/)
15:47:53	448026/448026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2008:47:52%20GMT	https://onthecard.vn/fonts/glyphicons-halflings-regular.woff2	G:/backup/onthecard_v2/onthecard.vn/fonts/glyphicons-halflings-regular.woff2	(from https://onthecard.vn/)
15:47:53	448026/448026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2008:47:53%20GMT	https://onthecard.vn/fonts/glyphicons-halflings-regular.woff	G:/backup/onthecard_v2/onthecard.vn/fonts/glyphicons-halflings-regular.woff	(from https://onthecard.vn/)
15:47:53	448026/448026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2008:47:53%20GMT	https://onthecard.vn/fonts/glyphicons-halflings-regular.ttf	G:/backup/onthecard_v2/onthecard.vn/fonts/glyphicons-halflings-regular.ttf	(from https://onthecard.vn/)
15:47:54	448026/448026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2008:47:54%20GMT	https://onthecard.vn/fonts/glyphicons-halflings-regular.svg	G:/backup/onthecard_v2/onthecard.vn/fonts/glyphicons-halflings-regular.svg	(from https://onthecard.vn/)
15:47:54	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2008:47:54%20GMT	https://onthecard.vn/owl.video.play.png	G:/backup/onthecard_v2/onthecard.vn/owl.video.play.png	(from https://onthecard.vn/)
15:47:56	137120/137120	---MCZ	200	added ('OK')	text/css	etag:W/%2252f4ead0b7fb5290a7d24080984cfc46%22	http://theme.hstatic.net/200000281647/1000748372/14/styles.css?v=242	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000748372/14/styles43da.css	(from https://onthecard.vn/)
15:47:56	57716/57716	---MCZ	200	added ('OK')	text/css	etag:W/%221fa9fcb317135302d95b10a67750833a%22	http://theme.hstatic.net/200000281647/1000748372/14/f-cus.scss.css?v=242	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000748372/14/f-cus.scss43da.css	(from https://onthecard.vn/)
15:47:58	96295/96295	---MCZ	200	added ('OK')	application/javascript	etag:W/%22abed2a9134f90d590707a6fa9a586099%22	http://theme.hstatic.net/200000281647/1000748372/14/jquery.min.1.11.0.js?v=242	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000748372/14/jquery.min.1.11.043da.js	(from https://onthecard.vn/)
15:47:58	884/884	---MC-	200	added ('OK')	text/javascript	date:Wed,%2021%20Sep%202022%2008:47:56%20GMT	https://www.google.com/recaptcha/api.js?render=6LdD18MUAAAAAHqKl3Avv8W-tREL6LangePxQLM-	G:/backup/onthecard_v2/www.google.com/recaptcha/api4d7a.js	(from https://onthecard.vn/)
15:48:00	25465/25465	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d8ac9040ce89f9%22	https://stats.hstatic.net/beacon.min.js	G:/backup/onthecard_v2/stats.hstatic.net/beacon.min.js	(from https://onthecard.vn/)
15:48:02	103160/103160	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2021%20Sep%202022%2008:48:00%20GMT	http://connect.facebook.net/en_US/fbevents.js	G:/backup/onthecard_v2/connect.facebook.net/en_US/fbevents.js	(from https://onthecard.vn/)
15:48:03	1430/1430	---MCZ	200	added ('OK')	application/javascript	etag:W/%22635cd766983211119a637fd637544570%22	https://theme.hstatic.net/200000281647/1000700123/14/checkout.js?v=	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000700123/14/checkoutec92.js	(from https://onthecard.vn/)
15:48:03	3406/3406	---M--	200	added ('OK')	image/png	etag:%22a51eefd9ca04ee2144d05b81637887f1%22	http://theme.hstatic.net/200000281647/1000748372/14/landing-logo.png?v=242	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000748372/14/landing-logo43da.png	(from https://onthecard.vn/)
15:48:03	448026/448026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2008:47:57%20GMT	https://onthecard.vn/isDSTShifted%20is%20deprecated.%20See%20http://momentjs.com/guides/	G:/backup/onthecard_v2/onthecard.vn/isDSTShifted%20is%20deprecated.%20See%20http_/momentjs.com/guides/index.html	(from https://onthecard.vn/)
15:48:03	3372/3372	---M--	200	added ('OK')	image/png	etag:%224c454cd9e982b16dfd2ecc28b34e3d6f%22	http://theme.hstatic.net/200000281647/1000748372/14/logo_dark.png?v=242	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000748372/14/logo_dark43da.png	(from https://onthecard.vn/)
15:48:04	49672/49672	---MC-	200	added ('OK')	text/javascript	date:Sun,%2011%20Sep%202022%2013:50:09%20GMT	http://www.google-analytics.com/analytics.js	G:/backup/onthecard_v2/www.google-analytics.com/analytics.js	(from https://onthecard.vn/)
15:48:04	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2021%20Sep%202022%2008:48:03%20GMT	https://onthecard.vn/checkout	G:/backup/onthecard_v2/onthecard.vn/checkout	(from https://onthecard.vn/)
15:48:05	454595/454595	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2008:48:04%20GMT	https://onthecard.vn/cart	G:/backup/onthecard_v2/onthecard.vn/cart.html	(from https://onthecard.vn/)
15:48:05	469032/469032	---MCZ	200	added ('OK')	text/html	etag:W/%22fe207daa282d430fb8ddded0a4ce184b%22	https://onthecard.vn/blogs/on-media	G:/backup/onthecard_v2/onthecard.vn/blogs/on-media.html	(from https://onthecard.vn/)
15:48:06	495438/495438	---MCZ	200	added ('OK')	text/html	etag:W/%2288bfaa5087fc4e16ac8df14b937e969d%22	https://onthecard.vn/collections/all	G:/backup/onthecard_v2/onthecard.vn/collections/all.html	(from https://onthecard.vn/)
15:48:06	777900/777900	---MCZ	200	added ('OK')	text/html	etag:W/%22e81f02cd510e42afb4dff9f59eec1a1e%22	https://onthecard.vn/pages/danh-sach-thiet-bi-tuong-thich	G:/backup/onthecard_v2/onthecard.vn/pages/danh-sach-thiet-bi-tuong-thich.html	(from https://onthecard.vn/)
15:48:06	463106/463106	---MCZ	200	added ('OK')	text/html	etag:W/%22a90c1a9975474626a7b3b62f1ec5d527%22	https://onthecard.vn/pages/huongdansudung	G:/backup/onthecard_v2/onthecard.vn/pages/huongdansudung.html	(from https://onthecard.vn/)
15:48:06	452603/452603	---MCZ	200	added ('OK')	text/html	etag:W/%2273475dc1d982469782c50a8e0f4e0f1e%22	https://onthecard.vn/pages/huongdancaidat	G:/backup/onthecard_v2/onthecard.vn/pages/huongdancaidat.html	(from https://onthecard.vn/)
15:48:06	466585/466585	---MCZ	200	added ('OK')	text/html	etag:W/%222eeb83aec0b049a19404e487b15f0db0%22	https://onthecard.vn/pages/faq	G:/backup/onthecard_v2/onthecard.vn/pages/faq.html	(from https://onthecard.vn/)
15:48:10	2813/2813	---M--	200	added ('OK')	image/png	etag:%2242ca10c3642e99a4e30bdcd350cae7b8%22	http://theme.hstatic.net/200000281647/1000748372/14/img_xxx_2.png?v=242	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000748372/14/img_xxx_243da.png	(from https://onthecard.vn/)
15:48:10	13044/13044	---M--	200	added ('OK')	image/png	etag:%22ce0f159661d682576ef4a3215fc0ebe1%22	http://theme.hstatic.net/200000281647/1000748372/14/img_xxx_1.png?v=242	G:/backup/onthecard_v2/theme.hstatic.net/200000281647/1000748372/14/img_xxx_143da.png	(from https://onthecard.vn/)
